id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6KbQ3uYMLKb5jDxLF7wYDD,0.708,0.195,10,-12.428,1,0.0506,0.995,0.563,0.151,0.779,118.469,audio_features,spotify:track:6KbQ3uYMLKb5jDxLF7wYDD,https://api.spotify.com/v1/tracks/6KbQ3uYMLKb5jDxLF7wYDD,https://api.spotify.com/v1/audio-analysis/6KbQ3uYMLKb5jDxLF7wYDD,158648,4
6KuQTIu1KoTTkLXKrwlLPV,0.379,0.0135,8,-28.454,1,0.0462,0.994,0.901,0.0763,0.0767,83.972,audio_features,spotify:track:6KuQTIu1KoTTkLXKrwlLPV,https://api.spotify.com/v1/tracks/6KuQTIu1KoTTkLXKrwlLPV,https://api.spotify.com/v1/audio-analysis/6KuQTIu1KoTTkLXKrwlLPV,282133,5
6L63VW0PibdM1HDSBoqnoM,0.749,0.22,5,-19.924,0,0.929,0.604,0,0.119,0.88,107.177,audio_features,spotify:track:6L63VW0PibdM1HDSBoqnoM,https://api.spotify.com/v1/tracks/6L63VW0PibdM1HDSBoqnoM,https://api.spotify.com/v1/audio-analysis/6L63VW0PibdM1HDSBoqnoM,104300,5
6M94FkXd15sOAOQYRnWPN8,0.781,0.13,1,-14.734,0,0.0926,0.995,0.887,0.111,0.72,108.003,audio_features,spotify:track:6M94FkXd15sOAOQYRnWPN8,https://api.spotify.com/v1/tracks/6M94FkXd15sOAOQYRnWPN8,https://api.spotify.com/v1/audio-analysis/6M94FkXd15sOAOQYRnWPN8,180760,4
6N6tiFZ9vLTSOIxkj8qKrd,0.21,0.204,11,-16.829,1,0.0424,0.99,0.908,0.098,0.0693,62.149,audio_features,spotify:track:6N6tiFZ9vLTSOIxkj8qKrd,https://api.spotify.com/v1/tracks/6N6tiFZ9vLTSOIxkj8qKrd,https://api.spotify.com/v1/audio-analysis/6N6tiFZ9vLTSOIxkj8qKrd,687733,4
6NxAf7M8DNHOBTmEd3JSO5,0.424,0.12,6,-19.242,0,0.0593,0.995,0.911,0.0915,0.266,63.521,audio_features,spotify:track:6NxAf7M8DNHOBTmEd3JSO5,https://api.spotify.com/v1/tracks/6NxAf7M8DNHOBTmEd3JSO5,https://api.spotify.com/v1/audio-analysis/6NxAf7M8DNHOBTmEd3JSO5,352600,4
6O0puPuyrxPjDTHDUgsWI7,0.444,0.197,11,-17.226,1,0.04,0.956,0.435,0.0744,0.305,80.495,audio_features,spotify:track:6O0puPuyrxPjDTHDUgsWI7,https://api.spotify.com/v1/tracks/6O0puPuyrxPjDTHDUgsWI7,https://api.spotify.com/v1/audio-analysis/6O0puPuyrxPjDTHDUgsWI7,136627,5
6OJjveoYwJdIt76y0Pxpxw,0.555,0.421,1,-9.878,1,0.0474,0.988,0.836,0.105,0.857,123.31,audio_features,spotify:track:6OJjveoYwJdIt76y0Pxpxw,https://api.spotify.com/v1/tracks/6OJjveoYwJdIt76y0Pxpxw,https://api.spotify.com/v1/audio-analysis/6OJjveoYwJdIt76y0Pxpxw,153967,4
6OaJ8Bh7lsBeYoBmwmo2nh,0.683,0.207,9,-9.801,0,0.127,0.995,0.206,0.337,0.493,119.833,audio_features,spotify:track:6OaJ8Bh7lsBeYoBmwmo2nh,https://api.spotify.com/v1/tracks/6OaJ8Bh7lsBeYoBmwmo2nh,https://api.spotify.com/v1/audio-analysis/6OaJ8Bh7lsBeYoBmwmo2nh,162493,4
6PrZexNb16cabXR8Q418Xc,0.674,0.205,9,-20.119,1,0.954,0.846,0,0.17,0.759,81.249,audio_features,spotify:track:6PrZexNb16cabXR8Q418Xc,https://api.spotify.com/v1/tracks/6PrZexNb16cabXR8Q418Xc,https://api.spotify.com/v1/audio-analysis/6PrZexNb16cabXR8Q418Xc,111600,3
6QBInZBkQNIQYU9gGzT5l4,0.376,0.0719,10,-21.849,0,0.0352,0.994,0.883,0.196,0.0393,141.39,audio_features,spotify:track:6QBInZBkQNIQYU9gGzT5l4,https://api.spotify.com/v1/tracks/6QBInZBkQNIQYU9gGzT5l4,https://api.spotify.com/v1/audio-analysis/6QBInZBkQNIQYU9gGzT5l4,590293,3
6QIONtzbQCbnmWNwn0H1yT,0.17,0.0823,10,-30.107,0,0.0317,0.989,0.911,0.0962,0.346,85.989,audio_features,spotify:track:6QIONtzbQCbnmWNwn0H1yT,https://api.spotify.com/v1/tracks/6QIONtzbQCbnmWNwn0H1yT,https://api.spotify.com/v1/audio-analysis/6QIONtzbQCbnmWNwn0H1yT,85133,3
6QgdUySTRGVkNo3KwbHpK3,0.359,0.0435,7,-20.858,1,0.0424,0.99,0.899,0.109,0.042,96.645,audio_features,spotify:track:6QgdUySTRGVkNo3KwbHpK3,https://api.spotify.com/v1/tracks/6QgdUySTRGVkNo3KwbHpK3,https://api.spotify.com/v1/audio-analysis/6QgdUySTRGVkNo3KwbHpK3,338333,4
6RvSNoCPBZeTR2LyGvdJOw,0.311,0.0107,5,-35.648,1,0.0556,0.992,0.883,0.0954,0.216,78.98,audio_features,spotify:track:6RvSNoCPBZeTR2LyGvdJOw,https://api.spotify.com/v1/tracks/6RvSNoCPBZeTR2LyGvdJOw,https://api.spotify.com/v1/audio-analysis/6RvSNoCPBZeTR2LyGvdJOw,167333,4
6Rwn56jcC0TdGQzbRl7NGw,0.335,0.105,5,-16.049,0,0.0716,0.977,0.84,0.231,0.406,80.204,audio_features,spotify:track:6Rwn56jcC0TdGQzbRl7NGw,https://api.spotify.com/v1/tracks/6Rwn56jcC0TdGQzbRl7NGw,https://api.spotify.com/v1/audio-analysis/6Rwn56jcC0TdGQzbRl7NGw,276563,4
6Sdpmree8xpGWaedACPMlP,0.319,0.00593,7,-25.789,0,0.051,0.991,6.35E-05,0.0691,0.169,79.831,audio_features,spotify:track:6Sdpmree8xpGWaedACPMlP,https://api.spotify.com/v1/tracks/6Sdpmree8xpGWaedACPMlP,https://api.spotify.com/v1/audio-analysis/6Sdpmree8xpGWaedACPMlP,184840,3
6T0mZB7p3qzOifdXZ3Su9P,0.319,0.155,4,-18.728,1,0.036,0.996,0.917,0.126,0.0488,66.947,audio_features,spotify:track:6T0mZB7p3qzOifdXZ3Su9P,https://api.spotify.com/v1/tracks/6T0mZB7p3qzOifdXZ3Su9P,https://api.spotify.com/v1/audio-analysis/6T0mZB7p3qzOifdXZ3Su9P,326067,3
6TFuAErGpJ9FpxQQ1HC8nM,0.787,0.156,4,-14.056,0,0.157,0.994,0.659,0.11,0.849,117.167,audio_features,spotify:track:6TFuAErGpJ9FpxQQ1HC8nM,https://api.spotify.com/v1/tracks/6TFuAErGpJ9FpxQQ1HC8nM,https://api.spotify.com/v1/audio-analysis/6TFuAErGpJ9FpxQQ1HC8nM,167107,4
6UUfiNT82MWBNnmsE2ZNWf,0.569,0.15,5,-15.238,1,0.0474,0.993,0.0015,0.106,0.596,76.93,audio_features,spotify:track:6UUfiNT82MWBNnmsE2ZNWf,https://api.spotify.com/v1/tracks/6UUfiNT82MWBNnmsE2ZNWf,https://api.spotify.com/v1/audio-analysis/6UUfiNT82MWBNnmsE2ZNWf,122533,4
